figure_no,file_png,file_pdf,caption
Fig. 1,figures/F01_dataset_overview.png,figures/F01_dataset_overview.pdf,"Composition of the CT-ICH cohort: slices and hemorrhagic slices per patient, slice-level class balance, radiologist label prevalence, lesion-area distribution and patient age by sex."
Fig. 2,figures/F02_cv_folds.png,figures/F02_cv_folds.pdf,"Patient-wise stratified 5-fold cross-validation: patients and hemorrhagic slices per fold, and hemorrhage prevalence per fold."
Fig. 3,figures/F03_preprocessing.png,figures/F03_preprocessing.pdf,"Preprocessing chain on three hemorrhagic slices: raw Hounsfield data, the brain window with CLAHE, the subdural and bone windows, and the composite three-window input. The rightmost column shows morphological skull stripping, which is disabled by default because it erases peripheral hemorrhage (quantified in Table T00) and is evaluated only as an ablation."
Fig. 4,figures/F04_augmentation.png,figures/F04_augmentation.pdf,"Online augmentation applied during training (horizontal flip, affine scale/translate/rotate, brightness-contrast jitter, Gaussian noise and coarse dropout). The lesion mask undergoes the identical geometric transform and is outlined in green."
Fig. 5,figures/F01a_class_examples_raw.png,figures/F01a_class_examples_raw.pdf,"Representative raw axial CT slices for each of the seven radiologist labels, shown in the brain window (40/80 HU) with no further processing. The reference hemorrhage mask is outlined in magenta. Slices carrying a single ICH subtype were preferred so each row illustrates that subtype rather than a mixed bleed."
Fig. 6,figures/F01b_class_examples_preprocessed.png,figures/F01b_class_examples_preprocessed.pdf,"The identical slices after the preprocessing chain applied in this study: brain windowing + CLAHE, followed by the three-window stack (brain 40/80, subdural 80/200, bone 600/2800 HU) and 2.5D stacking of the adjacent slices. Skull stripping is deliberately NOT applied: extra-axial epidural and subdural bleeds lie directly against the inner skull table, and forcing a morphological strip removed more than 25 % of the lesion on 6 of the 318 annotated slices (Table T00). Keeping the skull costs the model nothing that CLAHE cannot recover, and costs no lesion pixels."
Fig. 7,figures/F02_class_distribution.png,figures/F02_class_distribution.pdf,"Class distribution. Slice counts are shown on a log axis because the classes are severely imbalanced, and the co-occurrence matrix shows how often subtypes appear together on the same slice — the reason classification is treated as multi-label rather than multi-class."
Fig. 8,figures/F03a_aug_horizontal.png,figures/F03a_aug_horizontal.pdf,"Horizontal flip augmentation — left-right mirror; valid on axial head CT because the skull is broadly symmetric, and it doubles the effective lesion laterality. The leftmost panel is the unaugmented slice; the rest are independent draws. The magenta contour is the reference mask carried through the same transform, confirming that geometric operations are applied to image and label together."
Fig. 9,figures/F03b_aug_rotation.png,figures/F03b_aug_rotation.pdf,"Rotation augmentation — +/-15 deg, covering the head-tilt variation seen between scans. The leftmost panel is the unaugmented slice; the rest are independent draws. The magenta contour is the reference mask carried through the same transform, confirming that geometric operations are applied to image and label together."
Fig. 10,figures/F03c_aug_scaling.png,figures/F03c_aug_scaling.pdf,"Scaling augmentation — 0.9-1.1x zoom, for differences in head size and field of view. The leftmost panel is the unaugmented slice; the rest are independent draws. The magenta contour is the reference mask carried through the same transform, confirming that geometric operations are applied to image and label together."
Fig. 11,figures/F03d_aug_translation.png,figures/F03d_aug_translation.pdf,"Translation augmentation — +/-6 % shift, so the network cannot rely on absolute position. The leftmost panel is the unaugmented slice; the rest are independent draws. The magenta contour is the reference mask carried through the same transform, confirming that geometric operations are applied to image and label together."
Fig. 12,figures/F03e_aug_brightness.png,figures/F03e_aug_brightness.pdf,"Brightness / contrast augmentation — +/-12 %, mimicking scanner and reconstruction differences that change apparent blood density. The leftmost panel is the unaugmented slice; the rest are independent draws. The magenta contour is the reference mask carried through the same transform, confirming that geometric operations are applied to image and label together."
Fig. 13,figures/F03f_aug_gaussian.png,figures/F03f_aug_gaussian.pdf,"Gaussian noise augmentation — low-dose acquisition noise. The leftmost panel is the unaugmented slice; the rest are independent draws. The magenta contour is the reference mask carried through the same transform, confirming that geometric operations are applied to image and label together."
Fig. 14,figures/F03g_aug_coarse.png,figures/F03g_aug_coarse.pdf,"Coarse dropout augmentation — small occlusions that force the model to use context rather than a single bright blob. The leftmost panel is the unaugmented slice; the rest are independent draws. The magenta contour is the reference mask carried through the same transform, confirming that geometric operations are applied to image and label together."
Fig. 15,figures/F03z_aug_combined.png,figures/F03z_aug_combined.pdf,"The complete training-time augmentation pipeline, with every transform composed and sampled as it is during training. Panels are shown after normalisation, which is why the greyscale range differs from the raw view."
Fig. 16,figures/F05_model_comparison.png,figures/F05_model_comparison.pdf,"Test-set Dice, IoU, HD95 and per-patient Dice for every model, with 95% bootstrap confidence intervals."
Fig. 17,figures/F06_dice_distribution.png,figures/F06_dice_distribution.pdf,"Distribution of per-slice Dice on hemorrhagic test slices. Boxes show the quartiles, dots individual slices, and the mean is printed above each box."
Fig. 18,figures/F07_paired_patient_dice.png,figures/F07_paired_patient_dice.pdf,Paired per-patient Dice: each line links the same patient under a baseline and under the proposed model.
Fig. 19,figures/F08_training_curves_proposed.png,figures/F08_training_curves_proposed.pdf,"Training dynamics of the proposed model: total loss, the individual loss components, and validation Dice/AUROC per epoch."
Fig. 20,figures/F09_training_curves_all.png,figures/F09_training_curves_all.pdf,Validation Dice and loss per epoch for every model under an identical schedule.
Fig. 21,figures/F10_roc_pr.png,figures/F10_roc_pr.pdf,ROC and precision–recall curves for slice-level hemorrhage detection.
Fig. 22,figures/F11_confusion_matrix.png,figures/F11_confusion_matrix.pdf,Confusion matrix of the proposed model's slice-level hemorrhage detection.
Fig. 23,figures/F12_calibration.png,figures/F12_calibration.pdf,Reliability diagram and predicted-probability histograms by true class.
Fig. 24,figures/F13_subtype_auc.png,figures/F13_subtype_auc.pdf,Per-class AUROC of the multi-label subtype/fracture head of the proposed model.
Fig. 25,figures/F18_classwise_dice.png,figures/F18_classwise_dice.pdf,"Mean per-slice Dice on hemorrhagic test slices, broken down by ICH subtype. Slice counts per subtype are printed on the axis; the rarer subtypes carry few test slices, so their bars are correspondingly noisy and should be read alongside Table T07b."
Fig. 26,figures/F18_classwise_iou.png,figures/F18_classwise_iou.pdf,"Mean per-slice IoU on hemorrhagic test slices, broken down by ICH subtype. Slice counts per subtype are printed on the axis; the rarer subtypes carry few test slices, so their bars are correspondingly noisy and should be read alongside Table T07b."
Fig. 27,figures/F15_critical_difference.png,figures/F15_critical_difference.pdf,Critical-difference diagram (Friedman test with Nemenyi post-hoc) on per-slice Dice; models joined by a bar are not significantly different.
Fig. 28,figures/F16_bland_altman.png,figures/F16_bland_altman.pdf,"Agreement between predicted and reference hemorrhage volume per patient: scatter with the identity line and ICC, and the Bland–Altman plot with bias and 95% limits of agreement."
Fig. 29,figures/F17_significance.png,figures/F17_significance.pdf,Holm-adjusted significance of the proposed model over each baseline on per-slice Dice; the dashed line marks alpha = 0.05.
Fig. 30,figures/F19_threshold_sensitivity.png,figures/F19_threshold_sensitivity.pdf,Sensitivity of aggregated test Dice to the probability threshold; the marker shows each model's best value.
Fig. 31,figures/F20_qualitative_proposed.png,figures/F20_qualitative_proposed.pdf,"Qualitative segmentation by the proposed model on its three best and two worst hemorrhagic test slices, with true positives, false positives and false negatives colour-coded."
Fig. 32,figures/F21_qualitative_all_models.png,figures/F21_qualitative_all_models.pdf,"The same test slices segmented by every model, each binarised at its own validation-tuned threshold, with per-slice Dice printed under each panel."
Fig. 33,figures/F25_qualitative_by_class.png,figures/F25_qualitative_by_class.pdf,"Segmentation by the proposed model on one representative test slice from each class, with true positives, false positives and false negatives colour-coded. The hemorrhage-free row shows the model's false-positive behaviour on a normal slice, where any coloured pixel is an error."
Fig. 34,figures/F22_xai_gradcam_hemofusion.png,figures/F22_xai_gradcam_hemofusion.pdf,Grad-CAM saliency for HemoFusion-Net (proposed) at three network depths; the green contour marks the reference lesion.
Fig. 35,figures/F22_xai_gradcam_pp_hemofusion.png,figures/F22_xai_gradcam_pp_hemofusion.pdf,Grad-CAM++ saliency for HemoFusion-Net (proposed) at three network depths; the green contour marks the reference lesion.
Fig. 36,figures/F22_xai_layercam_hemofusion.png,figures/F22_xai_layercam_hemofusion.pdf,LayerCAM saliency for HemoFusion-Net (proposed) at three network depths; the green contour marks the reference lesion.
Fig. 37,figures/F23_xai_method_comparison_hemofusion.png,figures/F23_xai_method_comparison_hemofusion.pdf,"Grad-CAM, Grad-CAM++ and LayerCAM compared at the decoder 1/4 layer of HemoFusion-Net (proposed)."
Fig. 38,figures/F24_gradcam_by_class.png,figures/F24_gradcam_by_class.pdf,"Class-wise explainability for the proposed model. Each row is one representative test slice of a class: the CT slice, the reference lesion (green), then Grad-CAM and Grad-CAM++ as a raw heatmap and overlaid on the anatomy, both computed at the decoder 1/16 layer against the mean predicted-region logit. The white contour on the overlays marks the reference lesion, so agreement between heat and contour can be judged directly. Quantitative versions of that agreement are in Tables T22-T23."
